Clip,Res,Tracker,IOU_Thresh,Dist_Thresh,SOTP,SOTA,Recall,Precision,FPF,SODP,MT,PT,ML,Completeness,FM,FPS,fp_count,fp_thresh_count,tp_count,fn_count,tn_count,N_objects,N_frames,N_match
Bike02,1280,re3,0.4,0.1,0.0029,1.0,1.0,1.0,0.0,0.8082,1,0,0,1.0,0.0,12.35,0,0,98,0,0,98,99.0,98
Bike03,1280,re3,0.4,0.1,0.0185,1.0,1.0,0.7865,0.2111,0.5616,1,0,0,0.87,0.0,12.74,19,0,70,0,0,70,90.0,70
Bike04,1280,re3,0.4,0.1,0.0034,1.0,1.0,1.0,0.0,0.7008,1,0,0,1.0,0.0,12.46,0,0,94,0,0,94,95.0,94
Bike05,1280,re3,0.4,0.1,0.0066,1.0,1.0,1.0,0.0,0.7447,1,0,0,1.0,0.0,12.28,0,0,157,0,0,157,158.0,157
Bike07,1280,re3,0.4,0.1,0.009,1.0,1.0,0.973,0.0267,0.6197,1,0,0,0.89,0.0,12.16,2,0,72,0,0,72,75.0,72
Bike08,1280,re3,0.4,0.1,0.0323,1.0,1.0,0.9964,0.0036,0.5,0,1,0,0.7,0.0,12.36,2,0,556,0,0,556,559.0,556
Bike09,1280,re3,0.4,0.1,0.3619,0.4218,0.4218,0.328,0.6705,0.2484,0,1,0,0.39,0.58,12.61,97,196,143,0,0,339,437.0,339
Ski01,1280,re3,0.4,0.1,0.0024,1.0,1.0,1.0,0.0,0.6925,1,0,0,0.95,0.0,10.54,0,0,1352,0,0,1352,1353.0,1352
Ski02,1280,re3,0.4,0.1,0.0024,1.0,1.0,1.0,0.0,0.766,1,0,0,1.0,0.0,12.96,0,0,601,0,0,601,602.0,601
Ski03,1280,re3,0.4,0.1,0.0041,1.0,1.0,1.0,0.0,0.6926,1,0,0,0.94,0.0,13.14,0,0,1113,0,0,1113,1114.0,1113
Ski04,1280,re3,0.4,0.1,0.0143,1.0,1.0,1.0,0.0,0.4415,0,1,0,0.57,0.0,13.38,0,0,253,0,0,253,254.0,253
Snowboard01,1280,re3,0.4,0.1,0.0092,1.0,1.0,1.0,0.0,0.6024,1,0,0,0.9,0.0,13.53,0,0,112,0,0,112,113.0,112
Sup01,1280,re3,0.4,0.1,0.0028,1.0,1.0,0.9812,0.0188,0.77,1,0,0,1.0,0.0,13.5,7,0,365,0,0,365,373.0,365
Surf01,1280,re3,0.4,0.1,0.0795,0.7016,0.7016,0.6097,0.3898,0.4026,0,1,0,0.55,0.3,13.41,105,208,489,0,0,697,803.0,697
Wake01,1280,re3,0.4,0.1,0.0918,0.7695,0.7695,0.7695,0.2302,0.4968,0,1,0,0.68,0.23,13.0,0,174,581,0,0,755,756.0,755
Car01,1280,re3,0.4,0.1,0.0063,1.0,1.0,1.0,0.0,0.8736,1,0,0,1.0,0.0,13.26,0,0,156,0,0,156,157.0,156
Human01,1280,re3,0.4,0.1,0.0056,1.0,1.0,0.7975,0.2,0.7418,1,0,0,0.97,0.0,12.93,16,0,63,0,0,63,80.0,63
Slalom01,1280,re3,0.4,0.1,0.131,0.4242,0.4242,0.4242,0.57,0.1463,0,1,0,0.22,0.58,13.25,0,57,42,0,0,99,100.0,99
